timestamp,open,high,low,close,volume
1773864000000,71072.38000000,71333.33000000,70500.00000000,71214.67000000,1180.62213000
1773867600000,71214.67000000,71451.22000000,71167.15000000,71263.67000000,338.26453000
1773871200000,71263.67000000,71269.02000000,70944.56000000,71153.66000000,520.94837000
1773874800000,71153.67000000,71365.40000000,71069.69000000,71246.54000000,691.26691000
1773878400000,71246.55000000,71321.81000000,70976.69000000,71002.17000000,887.95607000
1773882000000,71002.18000000,71182.44000000,70951.93000000,71115.23000000,391.40796000
1773885600000,71115.24000000,71252.83000000,70902.37000000,71055.44000000,554.97617000
1773889200000,71055.44000000,71613.79000000,71053.33000000,71215.39000000,593.60943000
1773892800000,71215.39000000,71215.39000000,70654.86000000,70822.07000000,702.86032000
1773896400000,70822.06000000,70909.88000000,70661.56000000,70826.54000000,416.16191000
1773900000000,70826.55000000,70979.99000000,70505.00000000,70583.22000000,619.85140000
1773903600000,70583.22000000,70600.04000000,69478.51000000,70191.17000000,2753.95570000
1773907200000,70191.16000000,70300.00000000,69900.00000000,69985.19000000,1015.64209000
1773910800000,69985.19000000,70560.91000000,69971.99000000,70513.00000000,1262.65596000
1773914400000,70513.00000000,70538.74000000,70117.00000000,70133.72000000,613.17552000
1773918000000,70133.73000000,70259.37000000,69909.09000000,69952.75000000,542.70053000
1773921600000,69952.75000000,69952.76000000,69105.49000000,69290.27000000,1452.42038000
1773925200000,69290.28000000,70084.35000000,69081.51000000,69905.65000000,1720.19325000
1773928800000,69905.65000000,70179.53000000,69096.16000000,69482.25000000,1636.49639000
1773932400000,69482.24000000,69917.87000000,68793.35000000,69412.51000000,1898.28931000
1773936000000,69412.52000000,69642.35000000,69177.19000000,69455.86000000,858.32753000
1773939600000,69455.86000000,69954.18000000,69122.03000000,69854.16000000,759.67868000
1773943200000,69854.15000000,69931.10000000,69581.55000000,69821.21000000,442.61763000
1773946800000,69821.21000000,70596.42000000,69805.33000000,70271.99000000,1190.55299000
1773950400000,70272.00000000,70676.00000000,70201.00000000,70483.03000000,488.71031000
1773954000000,70483.03000000,70695.60000000,70371.19000000,70413.47000000,418.78383000
1773957600000,70413.46000000,70501.89000000,69954.05000000,70183.99000000,551.74820000
1773961200000,70184.00000000,70282.47000000,69718.23000000,69930.00000000,592.04663000
1773964800000,69930.01000000,70311.12000000,69837.10000000,70181.00000000,871.72419000
1773968400000,70181.00000000,70588.50000000,70181.00000000,70403.79000000,526.82154000
1773972000000,70403.80000000,70516.16000000,70086.86000000,70415.47000000,312.91426000
